en-de	gold	0	(PERSON2) Ja, das ist das einzige, was ich für positive Einschränkungen getan habe.	-1	-1	no-error
en-de	gold	1	Mit den negativen Einschränkungen habe ich etwas etwas komplizierteres in der Entschlüsselung gemacht.	-1	-1	no-error
en-de	gold	2	So wie das Filtern der Balken und das Ersetzen durch andere.	-1	-1	no-error
en-de	gold	3	Und für Multi-Token-Beschränkungen und solche Sachen.	-1	-1	no-error
en-de	gold	4	Aber für die positiven Einschränkungen, habe ich nur den Trainingsansatz mit ja nur diese sehr einfache Sache verglichen.	84 77	109 79	major minor
en-de	gold	5	Ich modifiziere nur die Punkte in jedem Schritt auf die gleiche Weise.	-1	-1	no-error
en-de	gold	6	Okay, zurück zu den positiven Einschränkungen.	0	0	major
en-de	gold	7	Haben Sie sich bereits auf die Analyse des Systems konzentriert?	-1	-1	no-error
en-de	gold	8	(PERSON2) Ja, im Moment warte ich auf die Wiederaufbereitung des Datensatzes von [Person9].	81	90	minor
en-de	gold	9	Auch [PERSON9] Ich habe einen Blick auf den (Code), und ich denke, ich weiß, warum es so langsam ist.	50 0	51 0	major minor
en-de	gold	10	Denn für jeden Eintrag in der Terminologie der (Europar-) Wiederaufbereitung öffnet man den Datensatz, tokeniziert ihn, liest ihn Zeile für Linie, tokenisiert ihm Zeilaufgabe und schließt ihn dann.	140 159 163	145 162 174	major major major
en-de	gold	11	Aber nur du kannst das...	22	23	major
en-de	gold	12	(PERSON11) <parallel_talk> Für ASR sollten wir auch eine ergänzende Metrik hinzufügen - eigentlich mehr, wir sollten diese komplementären Metri-	138 144	143 144	major major
en-de	gold	13	</parallel_talk> Also, Sie erwähnten eine und das ist Fluchfilter m Bewertung.	54	65	minor
en-de	gold	14	Also <parallel_talk> haben eine explizite Liste von Dingen, die nicht in der Ausgabe erscheinen dürfen, richtig?	-1	-1	no-error
en-de	gold	15	<parallel_talk> Und dann die Bewertung seltener Wörter.	-1	-1	no-error
en-de	gold	16	Und hier haben wir eine explizite Liste von Namen und Begriffen, die wir in der Ausgabe erscheinen möchten, nicht einfach durch (Ordner-) Rate </parallel_talk>, sondern durch etwas, das diese Dinge direkt berücksichtigt, richtig?	88 129 3 63	98 136 4 64	major major major minor
en-de	gold	17	Ja, also stimme ich vollkommen zu.	-1	-1	no-error
en-de	gold	18	Dazu gehört auch die manuelle Erstellung der Referenz.	-1	-1	no-error
en-de	gold	19	Also, <parallel_talk> benötigen beide manuell erstellte Referenzen.	-1	-1	no-error
en-de	gold	20	Ich habe eine Bemerkung von [PERSON1].	0	0	minor
en-de	gold	21	Also hat <parallel_talk> [PERSON1] ein Übersetzungswörterbuch zusammengestellt.	-1	-1	no-error
en-de	gold	22	Und sie sollte es bald teilen.	-1	-1	no-error
en-de	gold	23	</parallel_talk> Also, das könnte ein leerer Teil der zweiten Sache des seltenen Wortes werden - Also <paralell_Talk> das wäre die seltene Wortbewertung für MT und dann von [PROJEC210] werden wir wahrscheinlich auch ein Wörterbuch bekommen.	-1	-1	no-error
en-de	gold	24	</parallel_talk> Das wäre also offensichtlich die [PROJEC210]-Domain.	62	68	minor
en-de	gold	25	Und [PERSON2], könnte ich Sie bitten, die <unintelligible/>-Domäne zu überarbeiten und ein solches Wörterbuch zu erstellen, indem Sie sich die Ausgänge ansehen und was in den Ausgängen fehlt.	-1	-1	no-error
en-de	gold	26	Also, wie Shortlisting - die Auflistung der Wörter, die wir mögen, und wir lieben nicht in der <unintelligible/> Domäne.	71 75 75	74 87 81	major major minor
en-de	gold	27	Könntest du das tun?	0	11	major
en-de	gold	28	Okay, das ist gut, ja.	0	0	minor
en-de	gold	29	Also habe ich angefangen, aber ich glaube, ich habe nie eine E-Mail an Sie beendet, weil Sie mich daran erinnert haben, dass Ihr Schimpffilter noch nicht integriert ist.	75 92	82 93	major major
en-de	gold	30	Und ich denke, das ist auch eine wichtige Botschaft für [PERSON5], der wieder aus dem Anruf verschwunden ist.	42	51	minor
en-de	gold	31	Die wichtige Botschaft ist also, ja, es ist sehr gut, dass Sie aktiv drängen, damit Ihre Ergebnisse integriert werden, und jeder sollte das tun.	69	76	major
en-de	gold	32	Und gleichzeitig müssen wir das Setup haben, damit Sie es tatsächlich selbst integrieren und testen können.	-1	-1	no-error
en-de	gold	33	"Ich nenne es ""Do-it-yourself Integration""."	-1	-1	no-error
en-de	gold	34	Wenn Sie also mit [PERSON5] arbeiten und die Einstellungen dokumentieren, stellen Sie sicher, dass sie von Kollegen, wie z. B. von [ Person 4 ] oder sogar [ Person 9 ] für die Sprachmodellprüfungen und alle anderen gut genug getestet werden.	0	0	major
en-de	gold	35	Also, wann immer jemand eine neue nützliche Komponente entwickelt, sollte die gesamte Pipeline für ihn ziemlich leicht zugänglich sein, so dass er es selbst testen kann.	-1	-1	no-error
en-de	gold	36	Diese Do-it-yourself-Integration ist also wichtig, denn sonst bleibt alles bei Ihnen, [PERSON8], und Sie wollen nicht überlastet werden.	-1	-1	no-error
en-de	gold	37	Also, Sie wollen diese Leute mit Eingaben und Ausgänge als erste Test-Ansatz, der bereits getan wurde. [PERSON4], richtig?	46 59 55 90 101 101	54 64 58 95 102 102	minor major major major major minor
en-de	gold	38	Die Fluchfilterung, wurde sie auf Protokollen getestet?	4	18	minor
en-de	gold	39	Ich glaube, das war es.	-1	-1	no-error
en-de	gold	40	Ja, ich glaube, es wurde auf Protokollen getestet.	0	0	major
en-de	gold	41	Also, jetzt ist es Zeit, es auf den Live-Pipelines zu testen.	-1	-1	no-error
en-de	gold	42	Und noch einmal, ich denke, es ist besser, wenn [PERSON8] erklärt, wie man es tut, so dass [PERSON4] es für sich selbst einige der Arbeiter läuft und live spielt etwas von der problematischen Datei wie die Verwendung von [Projekt8] oder was auch immer.	0 140 106 150	0 145 108 251	major major minor major
en-de	gold	43	Spielen Sie sie einfach.	-1	-1	no-error
en-de	gold	44	Folgen Sie der Klangleistung Ihrer Maschine und sehen Sie, wie das funktioniert.	-1	-1	no-error
en-de	gold	45	Denn nur bei der richtigen Einrichtung werden die wahren Fehler erscheinen.	-1	-1	no-error
en-de	gold	46	Es ist wichtig, es zuerst zu debuggen, mit den Log-Dateien, und dann ist es wichtig es in der Pipeline zu depagen.	106 29	113 37	major major
en-de	gold	47	Und wenn dieses Debuggen durch den Autor dieser Komponente gemacht werden kann, hier, in diesem Fall [PERSON4], wäre es am effizientesten für uns alle.	-1	-1	no-error
en-de	gold	48	Also, [PERSON8], bestätigen Sie bitte, dass Sie dieser Idee der Do-it-yourself-Integration zustimmen.	-1	-1	no-error
en-de	gold	49	(PERSON17) Ja, also für den Multi-Akzent Englisch.	-1	-1	no-error
en-de	gold	50	Also bringen wir [PERSON14] jetzt zu einer technischen Lösung zusammen.	16	17	major
en-de	gold	51	Die aktuelle Idee, an der [PERSON14] arbeitet, ist, dass er neue Sätze mit Wörtern erstellt, die in anderen Sätzen gesprochen wurden, und er wird dies über verschiedene Sprecher hinweg tun.	-1	-1	no-error
en-de	gold	52	Es werden also wirklich mehrsprachige Sätze sein, und daher könnte auch die Robustheit der verschiedenen Akzente dieser Sprecher verbessert werden.	-1	-1	no-error
en-de	gold	53	Das ist also ein Teilchen-Experiment.	-1	-1	no-error
en-de	gold	54	Und später machen wir vielleicht etwas mehr über das Multi-Akzent-Ding.	11	17	minor
en-de	gold	55	Diese neuen Sätze werden also tatsächlich versuchen, zwei Probleme mit einem Experiment zu lösen.	-1	-1	no-error
en-de	gold	56	Ein Problem ist das implizite Sprachmodell.	-1	-1	no-error
en-de	gold	57	Das ASR-System muss also den größtmöglichen Satz sehen.	-1	-1	no-error
en-de	gold	58	Und wir werden neue Sätze aus dem Text-only-Sprachmodell erstellen, indem wir den Klangteil hinzufügen, so dass das Sprachmodel besser für die ASR sein wird, und die Robustheit für verschiedene Sprecher auch besser sein würde.	-1	-1	no-error
en-de	gold	59	Und in einem Vortrag gestern, hörte ich eine andere Idee.	-1	-1	no-error
en-de	gold	60	Es war während des Trainings.	-1	-1	no-error
en-de	gold	61	Sie ließen Zeit- und Frequenzbänder aus dem Klang fallen.	50	56	major
en-de	gold	62	Sie trainierten also über gestörte Eingaben, und das verbesserte auch die Robustheit des Systems.	-1	-1	no-error
en-de	gold	63	(PERSON3) Ich habe das starke Gefühl, dass unsere Arbeit nicht gerade im Bereich der Sprache liegt, sie ist ungesund.	100	116	major
en-de	gold	64	Weil es hier keinen Begriff der Sprache gibt.	-1	-1	no-error
en-de	gold	65	Wir arbeiten direkt an dem Text.	-1	-1	no-error
en-de	gold	66	Aber die Sache ist, daß der Vorschlag für einen statistischen Workshop in diesem Jahr abgelaufen ist. Er fand im September statt, was für uns zu früh war.	-1	-1	no-error
en-de	gold	67	Und der nächste Vorschlag würde für 2022 kommen, was für uns zu spät wäre.	-1	-1	no-error
en-de	gold	68	Es ist besser, wenn wir eine der beiden Sektile oder Interspeech bekommen, weil beide in der Gemeinschaft gut anerkannt sind.	-1	-1	no-error
en-de	gold	69	Wir können die Teilnehmer motivieren, sich zu unterwerfen.	46	57	major
en-de	gold	70	Der einzige Vorbehalt, den ich jetzt bei Interspeech finde, ist, dass sie uns keinen Raum in den Verfahren gewähren, was einige der Teilnehmer abschrecken könnte, ich bin nicht sicher, wie sehr sie sich freuen werden, ein Papier im Archiv zu veröffentlichen.	222	228	major
en-de	gold	71	Also, in Archiven können die Leute jederzeit veröffentlichen, richtig?	-1	-1	no-error
en-de	gold	72	Das ist also kein Vorteil für ihre Profile.	-1	-1	no-error
en-de	gold	73	Also wie man die Teilnehmer motiviert, sich unserer gemeinsamen Aufgabe anzuschließen.	-1	-1	no-error
en-de	gold	74	Das war der Grund, weshalb ich mich besonders für die Sondersitzung eingesetzt habe.	-1	-1	no-error
en-de	gold	75	Aber diesmal, das Problem ist, was ich verstehen kann, ist das letzte Mal, die Zeiträume zwischen den Vorschlägen, der Einreichung und der endgültigen Papiersendung waren fünf Monate, so dass es genügend Zeit für unseren Zeitplan gewesen wäre, aber dieses Mal.	55 58 151 165	58 59 164 182	major major major major
en-de	gold	76	Es sind nur drei Monate.	-1	-1	no-error
en-de	gold	77	(PERSON2) Ja, wenn es einen kurzen Kontext hat und weil ich Entscheidungen treffen, die auf sehr kurze Kontexte für diese sehr geringe Latenz basieren, dann verbindet es sich wirklich zu etwas, das in, zum Beispiel, einer Sekunde oder zwei, es herausfindet, oh, nun, eigentlich war das eine schlechte Übersetzung.	75 157 197 241	82 166 198 243	major major major major
en-de	gold	78	Es versucht also, eine andere Formulierung zu verwenden.	-1	-1	no-error
en-de	gold	79	Zum Beispiel, um das Ding zu spezifizieren.	-1	-1	no-error
en-de	gold	80	Eigentlich hat es mir gefallen.	-1	-1	no-error
en-de	gold	81	Ich mag einige der Übersetzungen.	-1	-1	no-error
en-de	gold	82	Ich war wirklich erstaunt, obwohl man sehen konnte, dass das Modell beim ersten Versuch Fehler gemacht hat, wollte es wirklich eine Art Korrektur vornehmen.	108	155	major
en-de	gold	83	Und es klang definitiv sehr fließend, was ich auch für wichtig halte.	-1	-1	no-error
en-de	gold	84	Wenn Sie wirklich eine geringe Latenz verlangen, dann denke ich, dass auch eine etwas niedrigere Qualität in Ordnung ist, wenn die Fließfähigkeit gut ist.	131	145	major
en-de	gold	85	Denn wenn man schlechte Übersetzungsqualität und Schlechtigkeit hat, dann denke ich, dass die Übersetzung einfach sinnlos ist.	49	63	major
en-de	gold	86	Aber wenn die niedrigere Qualität ist, weil die Übersetzung, wenn Sie alles lesen, dass Sie die gleichen Informationen erhalten, aber die Formulierung ist nur schlecht, denn es verwendet, zum Beispiel, mehr Wörter und es benutzt einige Korrekturen und Sachen.	14 14 43 83	33 24 44 87	major major major major
en-de	gold	87	Also, ich denke, das ist völlig in Ordnung für gleichzeitig, solange Sie keine Informationen verlieren.	43	59	minor
en-de	gold	88	Und für welche Sprachpaare haben Sie diese Ergebnisse, wie einige Beispiele?	-1	-1	no-error
en-de	gold	89	Weil ich es gerne anschauen würde, nur aus Neugier.	-1	-1	no-error
en-de	gold	90	Oh, ganz sicher, ich kann dir meine Logs abwerfen.	0 26	0 29	major major
en-de	gold	91	(PERSON7) Aber in welchen Sprachen?	-1	-1	no-error
en-de	gold	92	Weil du weißt, dass ich kein Deutsch spreche.	5	13	major
en-de	gold	93	(PERSON2) Englisch und Deutsch.	-1	-1	no-error
en-de	gold	94	Ja, aber ich spreche nicht unbedingt Deutsch.	0 3	0 4	major minor
en-de	gold	95	(PERSON2) Dann kann ich Englisch  Chinesisch und English Japanisch anbieten, wenn es hilft.	56 0	57 0	major minor
en-de	gold	96	(PERSON2) Also wieder, ich will es menschlich lesbar machen.	15	21	minor
en-de	gold	97	Denn dieses Flimmern ist wirklich nervig und dann verlieren Sie die Konzentration auf das, was tatsächlich gesagt wurde, denn vielleicht ist dies auch eine Frage von jemandem, der mehr über das menschliche Gehirn weiß und wie wir mit Informationen arbeiten.	-1	-1	no-error
en-de	gold	98	Tut mir leid, ich habe nie darüber nachgedacht.	-1	-1	no-error
en-de	gold	99	Aber ich denke, dass ich jedes Mal, wenn ich ein Wort sehe, es in mein Gedächtnis einfüge und das ist keine lineare Sache, sondern eher wie eine Tasche.	-1	-1	no-error
en-de	gold	100	Also habe ich ein Wort in eine Tasche gesteckt.	-1	-1	no-error
en-de	gold	101	Und ich verbinde gerne die Dinge in der Tasche, um das Gesamtbild des Wortes zu bekommen.	-1	-1	no-error
en-de	gold	102	Und ich denke, das ist das Problem mit dem Flimmern.	-1	-1	no-error
en-de	gold	103	Wenn man etwas übersetzt und dann ändert, dann habe ich es bereits gelesen, es ist in meinem Gehirn.	-1	-1	no-error
en-de	gold	104	Und dann verliere ich die Konzentration und die Kontrolle über das, was dann als richtig übersetzt wurde und nicht das war was nicht war.	-1	-1	no-error
en-de	gold	105	Deshalb denke ich, dass das ganze Flimmern per Definition schlecht und dumm ist.	-1	-1	no-error
en-de	gold	106	Als ob ich die Motivation sehe, als ob du alles zeigen willst, was du hast.	0 11 32	6 30 38	major major major
en-de	gold	107	Obwohl du nicht versprechen kannst, dass es gut ist.	-1	-1	no-error
en-de	gold	108	Aber ich glaube, wir können mit diesen zusätzlichen Informationen nicht arbeiten.	-1	-1	no-error
en-de	gold	109	Und ich denke, das Problem ist, dass die Systeme von Menschen geschaffen werden, die damit arbeiten.	-1	-1	no-error
en-de	gold	110	Wenn ich ein System entwickeln, dann bin ich wirklich verrückt glücklich, wenn ich sehe, dass selbst wenn Ich nicht verspreche, die Übersetzung korrekt ist, ich immer noch zeigen es und es ist irgendwie gut, aber ich denke, daß der Entwickler nicht wirklich auf den Inhalt selbst konzentriert.	20 106 172 93 127 161 242	30 109 178 94 128 181 243	major minor major minor major major major
en-de	gold	111	Und wie man den Inhalt wahrnimmt, aber eher, oh ja, mein System kann es sehr schnell herausgeben.	-1	-1	no-error
en-de	gold	112	Und obwohl es nur vermutet, dass die Qualität okay ist, denke ich, vielleicht ist das der Grund, warum die Wiederübersetzung erstellt wurde.	26	27	major
en-de	gold	113	Nur die Entwickler der Systeme sind begierig darauf, Informationen anzuzeigen, und ich denke, weil wir begrenzt sind in wie das Volumen der Informationen, die wir einige Zeit wahrnehmen können, möchten wir sehen, dass die zusätzlichen Informationen nur eine zusätzliche Belastung für uns ist.	120 124 194 92 288	123 127 201 93 291	major major major major major
en-de	gold	114	Also, ich denke, dass es nicht gut ist, extra zu zeigen.	-1	-1	no-error
en-de	gold	115	Wenn man die Latenzzeit verringern will, dann, anstatt zu flimmern, senkt man einfach die Qualität.	-1	-1	no-error
en-de	gold	116	Ich denke, das ist immer noch besser, als das Flimmern zu zeigen.	-1	-1	no-error
en-de	gold	117	Denn was wäre der eigentliche Anwendungsfall?	-1	-1	no-error
en-de	gold	118	Warum sollten Sie die instabile Hypothese wirklich sehen?	42	50	minor
en-de	gold	119	Wie aus der Sicht des Nutzers?	-1	-1	no-error
en-de	gold	120	(PERSON1) Technisch gesehen, wenn menschliche Übersetzer anfangen zu übersetzen, meine ich das Ziel, das es auch für Annotatoren gibt, würden sie versuchen, der Sprachfolge des Originalsprechers zu folgen.	90 133 135	91 134 155	major major major
en-de	gold	121	Es gab also Zeiten, in denen sie etwas sagten, und das wäre falsch, also korrigierten sie sich einfach.	55	59	minor
en-de	gold	122	(PERSON2) Nun, aber ja das bedeutet mit meiner Lösung, wie würden Sie nicht flimmern, sondern Sie verpflichtet, als gibt es keine Möglichkeit, sich zu ändern, Aber Sie korrigieren sich.	98 112 159 55 59 69 84	110 115 163 58 69 70 85	major major minor major major major major
en-de	gold	123	Und genau das tun die Übersetzer.	-1	-1	no-error
